beopjeongdong_code,sgis_code,sido,sigungu_name,dong_name,match_type,confidence,pip_hit_pct,note
44180109,34030560,44,보령시,요암동,pip,high,97.4,"-> 충청남도 보령시 대천5동 | 분산={'34030560': 97.4, '34030370': 2.6}"
44180110,34030560,44,보령시,신흑동,pip,high,100.0,-> 충청남도 보령시 대천5동 | 분산={'34030560': 100.0}
44200101,34040510,44,아산시,온천동,pip,low,65.0,"-> 충청남도 아산시 온양1동 | 분산={'34040510': 65.0, '34040520': 33.5, '34040540': 1.2, '34040560': 0.4}"
44200102,34040540,44,아산시,실옥동,pip,high,99.9,"-> 충청남도 아산시 온양4동 | 분산={'34040540': 99.9, '34040510': 0.1}"
44200103,34040540,44,아산시,방축동,pip,high,100.0,-> 충청남도 아산시 온양4동 | 분산={'34040540': 100.0}
44200104,34040550,44,아산시,기산동,pip,high,100.0,-> 충청남도 아산시 온양5동 | 분산={'34040550': 100.0}
44200106,34040550,44,아산시,신인동,pip,high,98.4,"-> 충청남도 아산시 온양5동 | 분산={'34040550': 98.4, '34040560': 1.6}"
44200107,34040560,44,아산시,법곡동,pip,high,100.0,-> 충청남도 아산시 온양6동 | 분산={'34040560': 100.0}
44200108,34040560,44,아산시,장존동,pip,high,100.0,-> 충청남도 아산시 온양6동 | 분산={'34040560': 100.0}
44200109,34040560,44,아산시,좌부동,pip,high,98.9,"-> 충청남도 아산시 온양6동 | 분산={'34040560': 98.9, '34040120': 1.1}"
44200110,34040560,44,아산시,읍내동,pip,high,100.0,-> 충청남도 아산시 온양6동 | 분산={'34040560': 100.0}
44200111,34040560,44,아산시,풍기동,pip,high,99.0,"-> 충청남도 아산시 온양6동 | 분산={'34040560': 99.0, '34040530': 0.5, '34040550': 0.5}"
44200112,34040550,44,아산시,용화동,pip,high,99.5,"-> 충청남도 아산시 온양5동 | 분산={'34040550': 99.5, '34040560': 0.5}"
44200113,34040530,44,아산시,모종동,pip,high,98.5,"-> 충청남도 아산시 온양3동 | 분산={'34040530': 98.5, '34040560': 1.5}"
44200114,34040530,44,아산시,권곡동,pip,high,99.9,"-> 충청남도 아산시 온양3동 | 분산={'34040530': 99.9, '34040510': 0.1}"
44200115,34040540,44,아산시,배미동,pip,high,99.2,"-> 충청남도 아산시 온양4동 | 분산={'34040540': 99.2, '34040400': 0.8}"
44200116,34040540,44,아산시,득산동,pip,high,99.8,"-> 충청남도 아산시 온양4동 | 분산={'34040540': 99.8, '34040400': 0.2}"
44200117,34040540,44,아산시,점양동,pip,high,100.0,-> 충청남도 아산시 온양4동 | 분산={'34040540': 100.0}
44200118,34040530,44,아산시,신동,pip,high,99.8,"-> 충청남도 아산시 온양3동 | 분산={'34040530': 99.8, '34040120': 0.2}"
44200119,34040560,44,아산시,남동,pip,high,95.2,"-> 충청남도 아산시 온양6동 | 분산={'34040560': 95.2, '34040120': 4.8}"
44210101,34050510,44,서산시,읍내동,pip,high,100.0,-> 충청남도 서산시 부춘동 | 분산={'34050510': 100.0}
